Latein;Deutsch;Sorte;;Name;Verkauf;DTM;CODE;generation;BEETMETER;Aussaat;Transplant;START OF HARVEST;END OF HARVEST;;;;;;;
Cosmos bipinnatus;Kosmeen/Schmuckkörbchen;Cupcake blush;Cupcake blush;Kosmeen/Schmuckkörbchen-Cupcake blush;;80;;#1;;29.3.21;;;;;;;;;;
Craspedia;Trommelstöckchen;;DEFAULT;Trommelstöckchen-DEFAULT;;110;;#1;;;;;;;;;;;;
Chrysanthemum carinatum;Bunte Wucherblume/Sommermmargerite;;DEFAULT;Bunte Wucherblume/Sommermmargerite-DEFAULT;;;;#1;;25.3.21;;;;;;;;;;
Cynoglossum amabile;Chinesische Hundszunge;;DEFAULT;Chinesische Hundszunge-DEFAULT;;80;;#1;;;30.1;24.9;1.10;;;;;;;
Dahlia variabilis ;Dahlie aus Samen ;"""Sunny Reggae""";"""Sunny Reggae""";"Dahlie aus Samen -""Sunny Reggae""";;;;#1;;;30.1;8.10;15.10;;;;;;;
Delphinium elatum;Rittersporn;;DEFAULT;Rittersporn-DEFAULT;;110;;#1;;30.5.20;;;;;;;;;;
Delphinium consolida;Sommerrittersporn;Misty Lavender;Misty Lavender;Sommerrittersporn-Misty Lavender;;120;;#1;;3.3.21;;;;;;;;;;
Dianthus caryophyllus;Nelke;Chabaud picotee Mix;Chabaud picotee Mix;Nelke-Chabaud picotee Mix;;140;;#1;;4.3.21;23.4;4.6;18.6;;;;;;;
Dianthus barbatus;Bartnelken;;DEFAULT;Bartnelken-DEFAULT;;100;;#1;;3.3.21;22.4;25.6;9.7;;;;;;;
Digitalis;Fingerhut;;DEFAULT;Fingerhut-DEFAULT;;140;;#1;;3.3.21;22.4;16.7;30.7;;;;;;;
Escholzia californica ;Californischer Mohn;Mission Bells ;Mission Bells ;Californischer Mohn-Mission Bells ;;;;#1;;3.3.21;22.4;6.8;20.8;;;;;;;
Euphorbia marginata;Weißrand-Wolfsmilch;;DEFAULT;Weißrand-Wolfsmilch-DEFAULT;;120;;#1;;3.3.21;22.4;27.8;10.9;;;;;;;
Eustoma grandiflorum;Lisianthus;;DEFAULT;Lisianthus-DEFAULT;;150;;#1;;3.3.21;22.4;17.9;1.10;;;;;;;
Geum quellyon;Scharlach-Nelken;;DEFAULT;Scharlach-Nelken-DEFAULT;;;;#1;;3.3.21;22.4;8.10;22.10;;;;;;;
Dianthus caryophyllus;Edelnelke;Marie Chabaud;Marie Chabaud;Edelnelke-Marie Chabaud;;135;;#1;;3.3.21;;;;;;;;;;
Gomphrena globosa;Kugelamaranth;Qis-Carmine;Qis-Carmine;Kugelamaranth-Qis-Carmine;;90;;#1;;3.3.21;22.4;4.6;18.6;;;;;;;
Gomphrena globosa;Kugelamaranth;Qis-Purple;Qis-Purple;Kugelamaranth-Qis-Purple;;90;;#1;;3.3.21;22.4;4.6;18.6;;;;;;;
Gomphrena globosa;Kugelamaranth;Strawberry Fields;Strawberry Fields;Kugelamaranth-Strawberry Fields;;90;;#1;;3.3.21;;;;;;;;;;
Gomphrena globosa;Kugelamaranth;Rose;Rose;Kugelamaranth-Rose;;90;;#1;;3.3.21;;;;;;;;;;
Gypsophila paniculata;Rispiges Gipskraut;;DEFAULT;Rispiges Gipskraut-DEFAULT;;50;;#1;;3.3.21;;#BEZUG!;#BEZUG!;;;;;;;
Helianthus anuus;Sonnenblume;Big Smile;Big Smile;Sonnenblume-Big Smile;;55;;#1;;3.3.21;;#BEZUG!;#BEZUG!;;;;;;;
Helianthus anuus;Sonnenblume;Gefüllte Zwerge;Gefüllte Zwerge;Sonnenblume-Gefüllte Zwerge;;55;;#1;;25.3.21;;#BEZUG!;#BEZUG!;;;;;;;
Helianthus anuus;Sonnenblume;Sonja;Sonja;Sonnenblume-Sonja;;55;;#1;;22.4.21;;#BEZUG!;#BEZUG!;;;;;;;
Helianthus anuus;Sonnenblume;King Kong;King Kong;Sonnenblume-King Kong;;55;;#1;;22.4.21;;#BEZUG!;#BEZUG!;;;;;;;
Helianthus anuus;Sonnenblume;Double Sunking;Double Sunking;Sonnenblume-Double Sunking;;55;;#1;;25.3.21;;#BEZUG!;#BEZUG!;;;;;;;
Helianthus debilis ;Sonnenblume;Italian White ;Italian White ;Sonnenblume-Italian White ;;55;;#1;;22.4.21;;#BEZUG!;#BEZUG!;;;;;;;
Helicrysum bracteatum ;Stroblume - Hohe Mischung;" 'King Size-Mischung""";" 'King Size-Mischung""";"Stroblume - Hohe Mischung- 'King Size-Mischung""";;80;;#1;;10.3.21;;#BEZUG!;#BEZUG!;;;;;;;
Helicrysum bracteatum ;Stroblume - Hohe Mischung;Silvery Rose;Silvery Rose;Stroblume - Hohe Mischung-Silvery Rose;;80;;#1;;29.3.21;;#BEZUG!;#BEZUG!;;;;;;;
Helipterum roseum;Sonnestrohblume ;Crisp Everlasting ;Crisp Everlasting ;Sonnestrohblume -Crisp Everlasting ;;60;;#1;;30.3.21;;#BEZUG!;#BEZUG!;;;;;;;
Heliomeris multiflora;Zartgelbes Sonnenauge;Sunsplash;Sunsplash;Zartgelbes Sonnenauge-Sunsplash;;60;;#1;;17.3.21;;#BEZUG!;#BEZUG!;;;;;;;
Lathyrus odoratus;Edelwicke;;DEFAULT;Edelwicke-DEFAULT;;80;;#1;;;;;;;;;;;;
Lathyrus grandiflora ;Wicke;Americana;Americana;Wicke-Americana;;;;#1;;29.3.20;28.4;4.6;18.6;;;;;;;
Lavatera trimestris;Bechermalve;;DEFAULT;Bechermalve-DEFAULT;;;;#1;;;;;;;;;;;;
Limonium sinuatum;Statice;Pacific Mix;Pacific Mix;Statice-Pacific Mix;;115;;#1;;29.3.21;;;;;;;;;;
Limonium sinuatum;Statice;Qis-Apricot;Qis-Apricot;Statice-Qis-Apricot;;115;;#1;;29.3.21;;;;;;;;;;
Limonium sinuatum;Statice;Carmin Rose;Carmin Rose;Statice-Carmin Rose;;115;;#1;;29.3.21;;;;;;;;;;
Limonium sinuatum;Statice;Apricot shades;Apricot shades;Statice-Apricot shades;;115;;#1;;29.3.21;28.4;25.6;9.7;;;;;;;
Limonium sinuatum;Statice;White;White;Statice-White;;115;;#1;;29.3.21;28.4;25.6;9.7;;;;;;;
Limonium sinuatum;Statice;deep blue ;deep blue ;Statice-deep blue ;;115;;#1;;29.3.21;28.4;15.9;29.9;;;;;;;
Limonium suworowii;Russischer Meerlavendel;;DEFAULT;Russischer Meerlavendel-DEFAULT;;115;;#1;;29.3.21;;;;;;;;;;
Matthiola incana;Garten-Levkoje;;DEFAULT;Garten-Levkoje-DEFAULT;;100;;#1;;;30.1;4.6;22.10;;;;;;;
Matthiola incana;Levkoje;Levkoje Bara;Levkoje Bara;Levkoje-Levkoje Bara;;100;;#1;;5.4.21;5.5;4.6;4.7;;;;;;;
Meconopsis betonicifolia;Tibet Scheinmohn;;DEFAULT;Tibet Scheinmohn-DEFAULT;;;;#1;;;30.1;15.9;22.10;;;;;;;
Mollucella laevis;Muschelblume, Irlandglocke ;;DEFAULT;Muschelblume, Irlandglocke -DEFAULT;;100;;#1;;13.3.21;;;;;;;;;;
Nigella damascena;Jungfer im Grünen;;DEFAULT;Jungfer im Grünen-DEFAULT;;70;;#1;;29.3.20;;;;;;;;;;
Nigella papillosa;Jungfer im Grünen;African Bride;African Bride;Jungfer im Grünen-African Bride;;70;;#1;;29.3.21;;;;;;;;;;
Nigella papillosa;Jungfer im Grünen;Delf Blue;Delf Blue;Jungfer im Grünen-Delf Blue;;70;;#1;;29.3.21;;;;;;;;;;
Nigella orientalis ;Ostlicher Schwarzkümmel;Transformer;Transformer;Ostlicher Schwarzkümmel-Transformer;;70;;#1;;29.3.21;18.4;17.9;29.10;;;;;;;
Orlaya grandiflora;Strahlen-Breitsame, Großblütige Strahlendolde ;;DEFAULT;Strahlen-Breitsame, Großblütige Strahlendolde -DEFAULT;;70;;#1;;10.1.21;;;;;;;;;;
Papaver rhoeas;Mohn;diverse & Klatschmohn;diverse & Klatschmohn;Mohn-diverse & Klatschmohn;;60;;#1;;15.3.21;;;;;;;;;;
Pennisetum glaucum ;Purpurhirse;;DEFAULT;Purpurhirse-DEFAULT;;120;;#1;;;;;;;;;;;;
Penstemon;Bartfaden;;DEFAULT;Bartfaden-DEFAULT;;;;#1;;;;;;;;;;;;
Perovskia;Blauraute/Perovskie;;DEFAULT;Blauraute/Perovskie-DEFAULT;;;;#1;;;25.1;1.10;22.10;;;;;;;
Reseda alba;Weiße Resede;;DEFAULT;Weiße Resede-DEFAULT;;60;;#1;;29.3.21;DTM;8.10;;;;;;;;
Salvia viridis;Schopfsalbei;;DEFAULT;Schopfsalbei-DEFAULT;;60;;#1;;15.3.20;;;;;;;;;;
Salvia;Blauer Ährensalbei;Blue Bedder;Blue Bedder;Blauer Ährensalbei-Blue Bedder;;130;;#1;;15.3.21;;;;;;;;;;
Scabiosa;Skabiosen;;DEFAULT;Skabiosen-DEFAULT;;100;;#1;;29.3.21;;;;;;;;;;
Scabiosa atropurpurea;Skabiosen;;DEFAULT;Skabiosen-DEFAULT;;100;;#1;;29.3.21;10.5;7.7;9.10;;;;;;;
Scabiosa stellata;Stern-Skabiose;;DEFAULT;Stern-Skabiose-DEFAULT;;90;;#1;;29.3.21;10.6;27.6;9.10;;;;;;;
Setaria italica;Kolbenhirse;;DEFAULT;Kolbenhirse-DEFAULT;;70;;#1;;1.5.21;10.5;10.7;9.10;;;;;;;
Sorghum bicolor;Mohrenhirse/Bunte Besenhirse;Mixed Colours;Mixed Colours;Mohrenhirse/Bunte Besenhirse-Mixed Colours;;100;;#1;;1.5.21;;;;;;;;;;
Talinum paniculatum;Surinamspinat;;DEFAULT;Surinamspinat-DEFAULT;;100;;#1;;29.3.21;;;;;;;;;;
Tagetes erecta;Tagetes;Giant orange;Giant orange;Tagetes-Giant orange;;80;;#1;;29.3.21;15.5;17.6;25.8;;;;;;;
Tagetes erecta;Tagetes;Giant yellow, F1;Giant yellow, F1;Tagetes-Giant yellow, F1;;80;;#1;;29.3.21;;;;;;;;;;
Tithonia;Mexikanische Sonnenblume;Torch;Torch;Mexikanische Sonnenblume-Torch;;90;;#1;;15.3.21;;;;;;;;;;
Trachymene coerulea;Blaudolde/Hügelie/LaceFlower;Emeralds Mix;Emeralds Mix;Blaudolde/Hügelie/LaceFlower-Emeralds Mix;;90;;#1;;29.3.21;;;;;;;;;;
Trollius;Trollblume;;DEFAULT;Trollblume-DEFAULT;;;;#1;;;10.5;0.1;29.10;;;;;;;
Tropeolum;Kapuzinerkresse;;DEFAULT;Kapuzinerkresse-DEFAULT;;65;;#1;;15.3.21;;;;;;;;;;
Venidium fastuosum ;Prächtges Bärenohr;;DEFAULT;Prächtges Bärenohr-DEFAULT;;90;;#1;;15.3.21;10.5;13.6;29.10;;;;;;;
Viola cornuta;Hornveilchen;gelb ;gelb ;Hornveilchen-gelb ;;65;;#1;;;10.5;5.3;29.10;;;;;;;
Viola odorata;Duftveilchen;;DEFAULT;Duftveilchen-DEFAULT;;65;;#1;;;10.5;5.3;29.10;;;;;;;
Viola tricolor;Stiefmütterchen;;DEFAULT;Stiefmütterchen-DEFAULT;;65;;#1;;;10.5;5.3;29.10;;;;;;;
Xerantheum annuum;Papierblume ;Everlasting Mix;Everlasting Mix;Papierblume -Everlasting Mix;;;;#1;;;10.5;0.1;29.10;;;;;;;
Zea mais;;Blauer Ziermais;Blauer Ziermais;-Blauer Ziermais;;85;;#1;;29.3.21;10.5;22.6;29.10;;;;;;;
Zea mais;;Weißer Ziermais;Weißer Ziermais;-Weißer Ziermais;;85;;#1;;29.3.21;10.5;22.6;29.10;;;;;;;
Zinnia elegans;Zinnien;Envy;Envy;Zinnien-Envy;;80;;#1;;29.3.21;10.5;17.6;29.10;;;;;;;
Zinnia elegans;Zinnien;Chrysanthemum Mix;Chrysanthemum Mix;Zinnien-Chrysanthemum Mix;;80;;#1;;15.3.21;10.5;3.6;29.10;;;;;;;
Zinnia elegans;Zinnien;Giants of California Mix;Giants of California Mix;Zinnien-Giants of California Mix;;80;;#1;;15.3.21;10.5;3.6;29.10;;;;;;;
Zinnia elegans;Zinnien;Dahlia flowered Mix;Dahlia flowered Mix;Zinnien-Dahlia flowered Mix;;80;;#1;;15.3.21;10.5;3.6;29.10;;;;;;;
Zinnia elegans;Zinnien;Großer Bunter Mix;Großer Bunter Mix;Zinnien-Großer Bunter Mix;;80;;#1;;15.3.21;10.5;3.6;29.10;;;;;;;
Zinnia elegans;Zinnien;Jazzy Mix;Jazzy Mix;Zinnien-Jazzy Mix;;80;;#1;;15.3.21;10.5;3.6;29.10;;;;;;;
Zinnia elegans;Zinnien;yellow;yellow;Zinnien-yellow;;80;;#1;;15.3.21;10.5;3.6;29.10;;;;;;;
Zinnia elegans;Zinnien;Zinderella Peach;Zinderella Peach;Zinnien-Zinderella Peach;;80;;#1;;15.3.21;10.5;3.6;29.10;;;;;;;
Zinnia elegans;Zinnien;Catus flowered Mix;Catus flowered Mix;Zinnien-Catus flowered Mix;;80;;#1;;15.3.21;10.5;3.6;29.10;;;;;;;
Zinnia elegans;Skabiosenblütige Zinnie;Zinderella Peach;Zinderella Peach;Skabiosenblütige Zinnie-Zinderella Peach;;80;;#1;;15.3.21;10.5;3.6;29.10;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
