Name Deutsch;Name Latein;Vulgo;;Verkauf;DTM;CODE;generation;BEETMETER;Aussaat;Transplant;START OF HARVEST;END OF HARVEST
Helianthus anuus;Sonnenblume;Double Sunking;;;55;;#1;;2021-03-25;;#BEZUG!;#BEZUG!
Helianthus debilis ;Sonnenblume;Italian White ;;;55;;#1;;2021-04-22;;#BEZUG!;#BEZUG!
Helicrysum bracteatum ;Stroblume - Hohe Mischung;" 'King Size-Mischung""";;;80;;#1;;2021-03-10;;#BEZUG!;#BEZUG!
Helicrysum bracteatum ;Stroblume - Hohe Mischung;Silvery Rose;;;80;;#1;;2021-03-29;;#BEZUG!;#BEZUG!
Helipterum roseum;Sonnestrohblume ;Crisp Everlasting ;;;60;;#1;;2021-03-30;;#BEZUG!;#BEZUG!
Heliomeris multiflora;Zartgelbes Sonnenauge;Sunsplash;;;60;;#1;;2021-03-17;;#BEZUG!;#BEZUG!
Lathyrus odoratus;Edelwicke;;;;80;;#1;;;;;
Lathyrus grandiflora ;Wicke;Americana;;;;;#1;;2020-03-29;28.4;4.6;18.6
Lavatera trimestris;Bechermalve;;;;;;#1;;;;;
Limonium sinuatum;Statice;Pacific Mix;;;115;;#1;;2021-03-29;;;
Limonium sinuatum;Statice;Qis-Apricot;;;115;;#1;;2021-03-29;;;
Limonium sinuatum;Statice;Carmin Rose;;;115;;#1;;2021-03-29;;;
Limonium sinuatum;Statice;Apricot shades;;;115;;#1;;2021-03-29;28.4;25.6;9.7
Limonium sinuatum;Statice;White;;;115;;#1;;2021-03-29;28.4;25.6;9.7
Limonium sinuatum;Statice;deep blue ;;;115;;#1;;2021-03-29;28.4;15.9;29.9
Limonium suworowii;Russischer Meerlavendel;;;;115;;#1;;2021-03-29;;;
Matthiola incana;Garten-Levkoje;;;;100;;#1;;;30.1;4.6;22.10
Matthiola incana;Levkoje;Levkoje Bara;;;100;;#1;;2021-04-05;5.5;4.6;4.7
Meconopsis betonicifolia;Tibet Scheinmohn;;;;;;#1;;;30.1;15.9;22.10
Mollucella laevis;Muschelblume, Irlandglocke ;;;;100;;#1;;2021-03-13;;;
Nigella damascena;Jungfer im Grünen;;;;70;;#1;;2020-03-29;;;
Nigella papillosa;Jungfer im Grünen;African Bride;;;70;;#1;;2021-03-29;;;
Nigella papillosa;Jungfer im Grünen;Delf Blue;;;70;;#1;;2021-03-29;;;
Nigella orientalis ;Ostlicher Schwarzkümmel;Transformer;;;70;;#1;;2021-03-29;18.4;17.9;29.10
Orlaya grandiflora;Strahlen-Breitsame, Großblütige Strahlendolde ;;;;70;;#1;;2021-01-10;;;
Papaver rhoeas;Mohn;diverse & Klatschmohn;;;60;;#1;;2021-03-15;;;
Pennisetum glaucum ;Purpurhirse;;;;120;;#1;;;;;
Penstemon;Bartfaden;;;;;;#1;;;;;
Perovskia;Blauraute/Perovskie;;;;;;#1;;;25.1;1.10;22.10
Reseda alba;Weiße Resede;;;;60;;#1;;2021-03-29;DTM;8.10;
Salvia viridis;Schopfsalbei;;;;60;;#1;;2020-03-15;;;
Salvia;Blauer Ährensalbei;Blue Bedder;;;130;;#1;;2021-03-15;;;
Scabiosa;Skabiosen;;;;100;;#1;;2021-03-29;;;
Scabiosa atropurpurea;Skabiosen;;;;100;;#1;;2021-03-29;10.5;7.7;9.10
Scabiosa stellata;Stern-Skabiose;;;;90;;#1;;2021-03-29;10.6;27.6;9.10
Setaria italica;Kolbenhirse;;;;70;;#1;;2021-05-01;10.5;10.7;9.10
Sorghum bicolor;Mohrenhirse/Bunte Besenhirse;Mixed Colours;;;100;;#1;;2021-05-01;;;
Talinum paniculatum;Surinamspinat;;;;100;;#1;;2021-03-29;;;
Tagetes erecta;Tagetes;Giant orange;;;80;;#1;;2021-03-29;15.5;17.6;25.8
Tagetes erecta;Tagetes;Giant yellow, F1;;;80;;#1;;2021-03-29;;;
Tithonia;Mexikanische Sonnenblume;Torch;;;90;;#1;;2021-03-15;;;
Trachymene coerulea;Blaudolde/Hügelie/LaceFlower;Emeralds Mix;;;90;;#1;;2021-03-29;;;
Trollius;Trollblume;;;;;;#1;;;10.5;0.1;29.10
Tropeolum;Kapuzinerkresse;;;;65;;#1;;2021-03-15;;;
Venidium fastuosum ;Prächtges Bärenohr;;;;90;;#1;;2021-03-15;10.5;13.6;29.10
Viola cornuta;Hornveilchen;gelb ;;;65;;#1;;;10.5;5.3;29.10
Viola odorata;Duftveilchen;;;;65;;#1;;;10.5;5.3;29.10
Viola tricolor;Stiefmütterchen;;;;65;;#1;;;10.5;5.3;29.10
Xerantheum annuum;Papierblume ;Everlasting Mix;;;;;#1;;;10.5;0.1;29.10
Zea mais;;Blauer Ziermais;;;85;;#1;;2021-03-29;10.5;22.6;29.10
Zea mais;;Weißer Ziermais;;;85;;#1;;2021-03-29;10.5;22.6;29.10
Zinnia elegans;Zinnien;Envy;;;80;;#1;;2021-03-29;10.5;17.6;29.10
Zinnia elegans;Zinnien;Chrysanthemum Mix;;;80;;#1;;2021-03-15;10.5;3.6;29.10
Zinnia elegans;Zinnien;Giants of California Mix;;;80;;#1;;2021-03-15;10.5;3.6;29.10
Zinnia elegans;Zinnien;Dahlia flowered Mix;;;80;;#1;;2021-03-15;10.5;3.6;29.10
Zinnia elegans;Zinnien;Großer Bunter Mix;;;80;;#1;;2021-03-15;10.5;3.6;29.10
Zinnia elegans;Zinnien;Jazzy Mix;;;80;;#1;;2021-03-15;10.5;3.6;29.10
Zinnia elegans;Zinnien;yellow;;;80;;#1;;2021-03-15;10.5;3.6;29.10
Zinnia elegans;Zinnien;Zinderella Peach;;;80;;#1;;2021-03-15;10.5;3.6;29.10
Zinnia elegans;Zinnien;Catus flowered Mix;;;80;;#1;;2021-03-15;10.5;3.6;29.10
Zinnia elegans;Skabiosenblütige Zinnie;Zinderella Peach;;;80;;#1;;2021-03-15;10.5;3.6;29.10
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
